sale_date_previous,sale_date_projected,sale_time,file_number,property_address,place_of_sale,loan_date,trustor,county,original_loan_amount,file_status,opening_bid_amount,max_bid_amount,sale_notation
,10/22/2025,10:00 AM,128668-CA,"1927 Illinois Ave, Santa Rosa CA, 95401","IN THE PLAZA AT FREMONT PARK, FREMONT PARK, 860 FIFTH STREET, SANTA ROSA, CA 95401",,,,,,,,From 09/24/2025 to 10/22/2025
,10/22/2025,01:30 PM,131768-CA,"2076 Wilkins Ave, Napa CA, 94558","At the fountain to the right of the Napa County Superior Court, 1111 Third Street, Napa, CA 94559",,,,,,,,From 09/17/2025 to 10/22/2025
,10/22/2025,01:30 PM,133688-CA,"3178 Larchmont Ln, San Pablo CA, 94806","AT THE NORTH SIDE OF THE PITTSBURG CIVIC CENTER OUTSIDE NEAR THE GRASS LOCATED AT 65 CIVIC AVENUE, PITTSBURG, CA 94565",,,,,,,,From 09/03/2025 to 10/22/2025
,10/22/2025,01:30 PM,130106-CA,"4 La Serena Way, Alamo CA, 94507","AT THE NORTH SIDE OF THE PITTSBURG CIVIC CENTER OUTSIDE NEAR THE GRASS LOCATED AT 65 CIVIC AVENUE, PITTSBURG, CA 94565",,,,,,,,From 09/03/2025 to 10/22/2025
,10/22/2025,09:30 AM,135103-CA,"3705 Portage Cir N, Stockton CA, 95219","AT THE EAST WEBER AVENUE ENTRANCE STEPS TO THE SAN JOAQUIN COUNTY COURTHOUSE, 180 EAST WEBER AVE., STOCKTON, CA 95202",,,,,,,,From 09/17/2025 to 10/22/2025
,10/22/2025,01:30 PM,135019-CA,"4622 Mammouth Lane, Oakley CA, 94561","AT THE NORTH SIDE OF THE PITTSBURG CIVIC CENTER OUTSIDE NEAR THE GRASS LOCATED AT 65 CIVIC AVENUE, PITTSBURG, CA 94565",,,,,,,,
,10/22/2025,10:30 AM,130936-CA,"5805 Briartree Dr, La Canada Flintridge CA, 91011","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,
,10/22/2025,09:00 AM,134709-CA,"26025 Chambers Ave, Sun City CA, 92586","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,
,10/22/2025,10:30 AM,134625-CA,"889 Francisco St, 2906, Los Angeles CA, 90017","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,
,10/22/2025,10:00 AM,132263-CA,"101 CHERRY HILLS DR, BAKERSFIELD CA, 93309","AT THE FRONT ENTRANCE TO THE CITY HALL, 1501 TRUXTUN AVENUE, BAKERSFIELD, CA 93301",,,,,,,,
,10/22/2025,10:00 AM,135299-CA,"325 Perry St, Milpitas CA, 95035","AT THE GATED NORTH MARKET STREET ENTRANCE, SUPERIOR COURTHOUSE, 191 N. 1st Street, San Jose, CA 95113",,,,,,,,
,10/22/2025,10:30 AM,120214-CA,"16433 Sunburst St, North Hills CA, 91343","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 09/17/2025 to 10/22/2025
,10/22/2025,09:00 AM,113974-CA,"848 Villa, Riverside CA, 92507","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,From 09/17/2025 to 10/22/2025
,10/22/2025,11:00 AM,089529-CA,"124W Burke Drive, Montebello CA, 90640","At The Courtyard located at 400 Civic Center Plaza, Pomona, CA 91766",,,,,,,,From 08/20/2025 to 10/22/2025
,10/22/2025,01:30 PM,088892-CA,"1514 Sierra Bonita Drive, Placentia CA, 92870","At the North front entrance to the County Courthouse at 700 Civic Center Drive West, Santa Ana, CA 92701",,,,,,,,From 09/17/2025 to 10/22/2025
,10/22/2025,01:00 PM,124442-CA,"341 RUTHERFORD AVE, REDWOOD CITY CA, 94061","MARSHALL ST. ENTRANCE, SAN MATEO COUNTY COURTHOUSE, SOUTHERN BRANCH HALL OF JUSTICE & RECORDS, 400 COUNTY CENTER, REDWOOD CITY, CA 94063",,,,,,,,From 08/13/2025 to 10/22/2025
,10/22/2025,10:30 AM,118863-CA,"5145 Corradi Ter, Acton CA, 93510","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 09/10/2025 to 10/22/2025
,10/22/2025,09:00 AM,104990-CA,"4525 Yosemite Blvd, Modesto CA, 95357","AT THE ""I"" STREET ENTRANCE TO THE COUNTY COURTHOUSE BUILDING, STANISLAUS COUNTY COURTHOUSE, 1100 ""I"" STREET, MODESTO, CA 95354",,,,,,,,From 09/24/2025 to 10/22/2025
,10/22/2025,09:30 AM,105082-CA,"5603 Vintage Cir, Stockton CA, 95219","AT THE EAST WEBER AVENUE ENTRANCE STEPS TO THE SAN JOAQUIN COUNTY COURTHOUSE, 180 EAST WEBER AVE., STOCKTON, CA 95202",,,,,,,,From 09/03/2025 to 10/22/2025
,10/22/2025,09:00 AM,119311-CA,"74 Rocio Ct, Palm Desert CA, 92260","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,From 09/17/2025 to 10/22/2025
,10/22/2025,10:30 AM,113737-CA,"33517 Longview Rd, Pearblossom CA, 93553","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 08/20/2025 to 10/22/2025
,10/22/2025,01:30 PM,121332-CA,"1380 Danville Blvd, Alamo CA, 94507","AT THE NORTH SIDE OF THE PITTSBURG CIVIC CENTER OUTSIDE NEAR THE GRASS LOCATED AT 65 CIVIC AVENUE, PITTSBURG, CA 94565",,,,,,,,From 09/17/2025 to 10/22/2025
,10/22/2025,11:00 AM,117199-CA,"740 Vipond Dr, Crescent City CA, 95531","At the Steps of the Southwest Entrance of the Flynn Administration Building, 981 H Street, Crescent City, CA 95531",,,,,,,,
,10/22/2025,09:00 AM,122585-CA,"23803 Lucas Drive, Canyon Lake CA, 92587","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,
,10/21/2025,10:30 AM,138189-CA,"41522 RIMFIELD AVE, QUARTZ HILL CA, 93536","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,
,09/18/2025,01:30 PM,128987-CA,"10232 Nick Way, Elk Grove CA, 95757","OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814",,,,,,,,From 08/14/2025 to 09/18/2025
,09/18/2025,09:00 AM,129733-CA,"9327 Woodley Ave, North Hills CA, 91343","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,600000.00,,From 08/07/2025 to 09/18/2025
,09/18/2025,11:00 AM,129823-CA,"4090 Cresthaven Dr, Westlake Village CA, 91362","AT THE MAIN FRONT ENTRANCE TO THE COUNTY GOVERNMENT CENTER HALL OF JUSTICE LOCATED AT 800 S. VICTORIA AVE., VENTURA, CA 93003",,,,,,1938633.93,,From 07/31/2025 to 09/18/2025
,09/18/2025,01:30 PM,133658-CA,"7446 Sylvia Way, Sacramento CA, 95822","OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814",,,,,,,,From 07/17/2025 to 09/18/2025
,10/21/2025,01:00 PM,135098-CA,"555 N Chestnut Ave, Rialto CA, 92376","NEAR THE FRONT STEPS LEADING UP TO THE CITY OF CHINO CIVIC CENTER, 13220 CENTRAL AVE., CHINO, CA 91710",,,,,,,,From 09/16/2025 to 10/21/2025
,09/18/2025,09:00 AM,135688-CA,"12182 Bradford Place, Los Angeles CA, 91344","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,98994.20,,
,09/18/2025,09:00 AM,129856-CA,"959 70Th Ave, Oakland CA, 94621","at the Fallon Street Steps Alameda County Courthouse, 1225 Fallon Street, Oakland, CA 94612",,,,,,399500.00,,
,09/18/2025,12:00 PM,135781-CA,"2715 High Street, Oakland CA, 94619","At the Fallon Street EmergencyExit of the Alameda County Courthouse located at 1225 Fallon Street,Oakland, CA 94612",,,,,,700000.00,,
,09/18/2025,09:00 AM,135588-CA,"25696 Weston Dr, Laguna Niguel CA, 92677","ON THE FRONT STEPS TO THE ENTRANCE OF THE ORANGE CIVIC CENTER, 300 E. CHAPMAN, ORANGE, CA 92866",,,,,,654945.94,,
,10/21/2025,01:00 PM,135406-CA,"13511 Mountain Dr, Hesperia CA, 92344","NEAR THE FRONT STEPS LEADING UP TO THE CITY OF CHINO CIVIC CENTER, 13220 CENTRAL AVE., CHINO, CA 91710",,,,,,,,
,09/17/2025,01:30 PM,081789-CA,"11 JOLIE LN, WALNUT CREEK CA, 94597","At the north side of the Pittsburg Civic Center near the grass located at 65 Civic Avenue, Pittsburg, CA 94565",,,,,,1890000.00,,From 07/30/2025 to 09/17/2025
,09/18/2025,09:00 AM,073185-CA,"7122 WELLESLEY AVE, WESTMINSTER CA, 92683","ON THE FRONT STEPS TO THE ENTRANCE OF THE ORANGE CIVIC CENTER, 300 E. CHAPMAN, ORANGE, CA 92866",,,,,,838046.66,,From 08/14/2025 to 09/18/2025
,09/17/2025,09:00 AM,130309-CA,"2 Saint Francis Dr, Vallejo CA, 94590","at the Santa Clara St. Entrance of the Vallejo City Hall, 555 Santa Clara Street, Vallejo, CA 94590",,,,,,270400.00,,From 07/09/2025 to 09/17/2025
,09/17/2025,09:00 AM,130131-CA,"29028 Pebble Beach Drive, Sun City CA, 92586","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,275000.00,,From 07/16/2025 to 09/17/2025
,09/18/2025,09:00 AM,037695-CA,"W 94TH ST, LOS ANGELES CA, 90044","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,From 08/07/2025 to 09/18/2025
,09/16/2025,10:30 AM,134960-CA,"315 West Cedar Street, Compton CA, 90220","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,
,09/17/2025,09:00 AM,133545-CA,"78930 Champagne Lane, Palm Desert CA, 92211","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,360000.00,,
,09/17/2025,11:00 AM,134583-CA,"47102 Navajo Ave, Coarsegold CA, 93614","At the main entrance to the County Government Center, 209 West Yosemite, Madera, CA 93637",,,,,,210125.00,,
,09/17/2025,09:00 AM,130552-CA,"11 Plaza Avila, Lake Elsinore CA, 92532","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,313176.47,,
,09/17/2025,10:30 AM,114337-CA,"46 Giralda Walk, Long Beach CA, 90803","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,3458825.59,,
,09/17/2025,01:00 PM,135502-CA,"1048 Shoreline Dr, San Mateo CA, 94404","OUTSIDE THE MARSHALL ST. ENTRANCE TO THE HALL OF JUSTICE AND RECORDS, 400 COUNTY CENTER, REDWOOD CITY, CA 94063",,,,,,333425.97,,
,09/18/2025,09:00 AM,122083-CA,"6564 Bradley Pl, Los Angeles CA, 90056","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,705825.47,,
,09/16/2025,09:00 AM,127089-CA,"17911 Fresno St, Hesperia CA, 92345","AT THE NORTH WEST ENTRANCE IN THE COURTYARD OF THE CHINO MUNICIPAL COURT, 13260 CENTRAL AVENUE, CHINO, CA 91710",,,,,,,,
,09/16/2025,10:30 AM,130283-CA,"1456 West 58Th Place, Los Angeles CA, 90047","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,
,09/11/2025,12:45 PM,124608-CA,"52840 Sacramento Street, Clarksburg CA, 95612","OUTSIDE THE REAR (NORTH) ENTRANCE TO THE CITY HALL 1110 WEST CAPITOL AVENUE, WEST SACRAMENTO, CA 95691",,,,,,,,
,09/16/2025,09:00 AM,133155-CA,"5328 Gately Ave, Richmond CA, 94804","At the Auction.com Room, Pleasant Hill Community Center, 320 Civic Drive, Pleasant Hill, CA 94523",,,,,,,,
,09/15/2025,02:00 PM,132384-CA,"22474 Lake Helen Pl, Cottonwood CA, 96022","AT THE MAIN ENTRANCE TO THE TEHAMA COUNTY SUPERIOR COURT, 633 WASHINGTON ST., RED BLUFF, CA 96080",,,,,,,,
,09/11/2025,12:00 PM,132375-CA,"27745 Andrea St, Hayward CA, 94544","At the Fallon Street EmergencyExit of the Alameda County Courthouse located at 1225 Fallon Street,Oakland, CA 94612",,,,,,,,
,09/16/2025,10:30 AM,126446-CA,"5723 Blue Sage Dr., Palmdale CA, 93552","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,
,09/16/2025,02:00 PM,132783-CA,"14706 GREEN VALLEY ACRES DR, RED BLUFF CA, 96080","AT THE MAIN ENTRANCE TO THE TEHAMA COUNTY COURTHOUSE, 633 WASHINGTON ST., RED BLUFF, CA 96080",,,,,,,,
,09/16/2025,01:00 PM,133994-CA,"27490 Norwood Street, Highland CA, 92346","NEAR THE FRONT STEPS LEADING UP TO THE CITY OF CHINO CIVIC CENTER, 13220 CENTRAL AVE., CHINO, CA 91710",,,,,,,,
,09/12/2025,09:00 AM,131904-CA,"1445 Prefumo Canyon Rd 20, San Luis Obispo CA, 93405","IN THE BREEZWAY FACING SANTA ROSA STREET, COUNTY OF SAN LUIS OBISPO GENERAL SERVICES BUILDING, 1087 SANTA ROSA ST, SAN LUIS OBISPO, CA 93408",,,,,,,,
,09/11/2025,01:30 PM,137940-CA,"2916 BELMAR ST, SACRAMENTO CA, 95826","OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814",,,,,,,,
,09/11/2025,12:30 PM,135945-CA,"2209 LORINA AVENUE, CORCORAN CA, 93212","AT THE FRONT ENTRANCE OF THE ADMINISTRATION BUILDING OFTHE KINGS GOVERNMENT CENTER, 1400 W. LACEY BLVD., HANFORD, CA 93230",,,,,,,,
,09/16/2025,02:00 PM,133992-CA,"19566 Feather Falls Place, Cottonwood CA, 96022","AT THE MAIN ENTRANCE TO THE TEHAMA COUNTY COURTHOUSE, 633 WASHINGTON ST., RED BLUFF, CA 96080",,,,,,,,
,09/05/2025,09:00 AM,133650-CA,"6747 Estrella Ave, Twentynine Palms CA, 92277","AT THE NORTH WEST ENTRANCE IN THE COURTYARD OF THE CHINO MUNICIPAL COURT, 13260 CENTRAL AVENUE, CHINO, CA 91710",,,,,,,,
,09/10/2025,09:00 AM,126269-CA,"658 TORREY PINES RD, BANNING CA, 92220","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,
,09/10/2025,09:30 AM,136025-CA,"3918 EAST 4TH STREET, STOCKTON CA, 95206","AT THE EAST WEBER AVENUE ENTRANCE STEPS TO THE SAN JOAQUIN COUNTY COURTHOUSE, 180 EAST WEBER AVE., STOCKTON, CA 95202",,,,,,,,
,09/10/2025,09:00 AM,133970-CA,"38183 Via Del Largo, Murrieta CA, 92563","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,
,09/10/2025,01:30 PM,133981-CA,"460 North Civic Drive #106, Walnut Creek CA, 94596","AT THE NORTH SIDE OF THE PITTSBURG CIVIC CENTER OUTSIDE NEAR THE GRASS LOCATED AT 65 CIVIC AVENUE, PITTSBURG, CA 94565",,,,,,,,
,09/10/2025,09:30 AM,128585-CA,"232 FRENCH CAMP RD, FRENCH CAMP CA, 95231","AT THE EAST WEBER AVENUE ENTRANCE STEPS TO THE SAN JOAQUIN COUNTY COURTHOUSE, 180 EAST WEBER AVE., STOCKTON, CA 95202",,,,,,,,
,09/10/2025,09:30 AM,133974-CA,"2625 Birch Ave, Stockton CA, 95207","AT THE EAST WEBER AVENUE ENTRANCE STEPS TO THE SAN JOAQUIN COUNTY COURTHOUSE, 180 EAST WEBER AVE., STOCKTON, CA 95202",,,,,,,,
,09/03/2025,09:00 AM,129003-CA,"401 Marian Way, Banning CA, 92220","Auction.com Room, 2410 Wardlow Road #111, Corona, CA 92880",,,,,,,,
,09/03/2025,09:00 AM,132951-CA,"2703 Marcel Ln, Fairfield CA, 94533","at the Santa Clara St. Entrance of the Vallejo City Hall, 555 Santa Clara Street, Vallejo, CA 94590",,,,,,,,
,09/04/2025,12:00 PM,131671-CA,"220 Louvaine Avenue, Oakland CA, 94603","At the Fallon Street EmergencyExit of the Alameda County Courthouse located at 1225 Fallon Street,Oakland, CA 94612",,,,,,,,
,09/02/2025,02:00 PM,134312-CA,"38135 Conard Ave, Mineral & Mill Creek CA, 96063","AT THE MAIN ENTRANCE TO THE TEHAMA COUNTY SUPERIOR COURT, 633 WASHINGTON ST., RED BLUFF, CA 96080",,,,,,,,
,09/03/2025,03:30 PM,133972-CA,"2039 Forbestown Rd, Oroville CA, 95966","Outside the Main Entrance to the Butte County Courthouse located at 1 Court Street, Oroville, CA 95965",,,,,,,,
,09/02/2025,11:00 AM,134634-CA,"1108 4TH ST, REDDING CA, 96002","AT THE SOUTH ENTRANCE TO THE SHASTA COUNTY ADMINISTRATION BUILDING LOCATED AT 1450 COURT STREET, REDDING, CA 96001",,,,,,,,
,09/02/2025,11:00 AM,134822-CA,"3580 GREY FOX RD, TEMPLETON CA, 93465","IN THE BREEZEWAY ADJACENT TO THE COUNTY GENERAL SERVICES BUILDING, 1087 SANTA ROSA STREET, SAN LUIS OBISPO, CA 93408",,,,,,,,
,09/03/2025,09:30 AM,137042-CA,"8363 N PERSHING AVE, STOCKTON CA, 95209","AT THE EAST WEBER AVENUE ENTRANCE STEPS TO THE SAN JOAQUIN COUNTY COURTHOUSE, 180 EAST WEBER AVE., STOCKTON, CA 95202",,,,,,,,
,08/28/2025,10:00 AM,128828-CA,"7017 SCOTT RD, MARIPOSA CA, 95338","OUTSIDE THE MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 5088 BULLION ST., MARIPOSA, CA 95338",,,,,,,,
,08/27/2025,09:00 AM,137049-CA,"10560 CANYON VISTA RD, MORENO VALLEY CA, 92557","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,
,08/28/2025,01:30 PM,137044-CA,"1930 LOS ROBLES BLVD, SACRAMENTO CA, 95838","OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814",,,,,,,,
,08/28/2025,01:00 PM,132053-CA,"1020 Mt Aukum Ct, Somerset CA, 95684","AT THE MAIN ENTRANCE TO THE EL DORADO COUNTY SUPERIOR COURTHOUSE, PLACERVILLE MAIN STREET BRANCH, 495 MAIN STREET, PLACERVILLE, CA 95667",,,,,,,,
,09/02/2025,11:00 AM,104054-CA,"27917 Mineral School Rd, Bella Vista CA, 96008","AT THE SOUTH ENTRANCE TO THE SHASTA COUNTY ADMINISTRATION BUILDING LOCATED AT 1450 COURT STREET, REDDING, CA 96001",,,,,,,,
,09/02/2025,01:00 PM,127390-CA,"61313 EL COYOTE LN, JOSHUA TREE CA, 92252","NEAR THE FRONT STEPS LEADING UP TO THE CITY OF CHINO CIVIC CENTER, 13220 CENTRAL AVE., CHINO, CA 91710",,,,,,,,
,08/26/2025,01:30 PM,130811-CA,"17925 Rodeo Dr, Madera CA, 93638","AT THE MAIN ENTRANCE TO THE COUNTY GOVERNMENT CENTER, 209 WEST YOSEMITE, MADERA, CA 93637",,,,,,,,
,08/27/2025,03:30 PM,135582-CA,"14471 ESSEX CT, MAGALIA CA, 95954","Outside the Main Entrance to the Butte County Courthouse located at 1 Court Street, Oroville, CA 95965",,,,,,,,
,08/26/2025,10:00 AM,131485-CA,"500 Woodman Creek Rd, Laytonville CA, 95454","OUTSIDE THE MAIN ENTRANCE TO THE MENDOCINO COUNTY COURTHOUSE, 100 NORTH STATE STREET, UKIAH, CA 95482",,,,,,,,
,08/27/2025,01:00 PM,134135-CA,"18 W Mountain Dr, Santa Barbara CA, 93103","AT THE NORTH DOOR OF THE MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 1100 ANACAPA ST., SANTA BARBARA, CA 93101",,,,,,,,
,08/27/2025,01:30 PM,133255-CA,"19 Wightman Court, Antioch CA, 94509","AT THE NORTH SIDE OF THE PITTSBURG CIVIC CENTER OUTSIDE NEAR THE GRASS LOCATED AT 65 CIVIC AVENUE, PITTSBURG, CA 94565",,,,,,,,
,08/27/2025,02:00 PM,134824-CA,"586 Larkspur Lane, Imperial CA, 92251","AT THE FRONT STEPS OF THE COUNTY COURTHOUSE, 939 MAIN ST., EL CENTRO, CA 92243",,,,,,,,
,08/21/2025,09:00 AM,134333-CA,"26635 Saddleback Dr, Mission Viejo CA, 92691","ON THE FRONT STEPS TO THE ENTRANCE OF THE ORANGE CIVIC CENTER, 300 E. CHAPMAN, ORANGE, CA 92866",,,,,,,,
,08/22/2025,10:30 AM,127186-CA,"1923 W PONTIAC WAY, FRESNO CA, 93705","AT THE BACKSIDE OF THE COUNTY COURTHOUSE BUILDING AT 1100 VAN NESS, FRESNO, CA 93724",,,,,,,,
,08/27/2025,09:00 AM,134635-CA,"6112 ARROYO RD UNIT 1, PALM SPRINGS CA, 92264","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,
,08/27/2025,09:00 AM,136055-CA,"10751 DEERFIELD DR, CHERRY VALLEY CA, 92223","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,
,08/26/2025,11:00 AM,136386-CA,"805 CHRISTINE AVE, REDDING CA, 96003","AT THE SOUTH ENTRANCE TO THE SHASTA COUNTY ADMINISTRATION BUILDING LOCATED AT 1450 COURT STREET, REDDING, CA 96001",,,,,,,,
,08/19/2025,11:00 AM,122135-CA,"1639 Kleck Road, Paso Robles CA, 93446","In the breezeway adjacent to the County General Services Building located at 1087 Santa Rosa St., San Luis Obispo, CA 93408",,,,,,,,
,08/19/2025,09:00 AM,130213-CA,"9193 Joshua St, Apple Valley CA, 92308","AT THE NORTH WEST ENTRANCE IN THE COURTYARD OF THE CHINO MUNICIPAL COURT, 13260 CENTRAL AVENUE, CHINO, CA 91710",,,,,,,,
,08/21/2025,01:30 PM,129007-CA,"1 Bristol Ct Unit 304, San Francisco CA, 94130","Outside the Memorial Court gates by Van Ness Avenue between 301 and 401 Van Ness Avenue, San Francisco, CA 94102",,,,,,,,
,08/21/2025,09:00 AM,124241-CA,"22555 Fern Ann Falls Rd, Chatsworth CA, 91311","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,
,08/20/2025,01:00 PM,132597-CA,"23642 Tonada Ln, Moreno Valley CA, 92557","In the courtyard, of the Historic Corona Civic Center, 815 W Sixth St, Corona, CA 92882",,,,,,,,
,08/20/2025,10:00 AM,132490-CA,"312S Myrtle St, Bakersfield CA, 93304","AT THE FRONT ENTRANCE TO THE CITY HALL, 1501 TRUXTUN AVENUE, BAKERSFIELD, CA 93301",,,,,,,,
,08/20/2025,01:30 PM,133986-CA,"630 32Nd Street, Richmond CA, 94804","AT THE NORTH SIDE OF THE PITTSBURG CIVIC CENTER OUTSIDE NEAR THE GRASS LOCATED AT 65 CIVIC AVENUE, PITTSBURG, CA 94565",,,,,,,,
,08/20/2025,01:00 PM,129522-CA,"449 N 7Th St, Blythe CA, 92225","In the courtyard, of the Historic Corona Civic Center, 815 W Sixth St, Corona, CA 92882",,,,,,,,
,08/20/2025,01:00 PM,134118-CA,"14500 Alder Dr, Eastvale CA, 92880","In the courtyard, of the Historic Corona Civic Center, 815 W Sixth St, Corona, CA 92882",,,,,,,,
,08/20/2025,09:00 AM,135707-CA,"27060 BLUE HILL DR, MENIFEE CA, 92586","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,
,08/20/2025,09:00 AM,135936-CA,"877 SWEETPEA STREET, HEMET CA, 92545","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,
,08/14/2025,01:30 PM,124173-CA,"7530 Bowen Cir, Sacramento CA, 95822","OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814",,,,,,,,
,08/14/2025,10:00 AM,120636-CA,"9728 Ernst Rd, Coulterville CA, 95311","OUTSIDE THE MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 5088 BULLION ST., MARIPOSA, CA 95338",,,,,,,,
,08/14/2025,10:00 AM,116589-CA,"11323 Blythe St, Sun Valley CA, 91352","Behind the fountain located in Civic Center Plaza, 400 Civic Center Plaza, Pomona, CA 91766",,,,,,,,
,08/14/2025,01:30 PM,131250-CA,"134 Beverly Street, San Francisco CA, 94132","Outside the Memorial Court gates by Van Ness Avenue between 301 and 401 Van Ness Avenue, San Francisco, CA 94102",,,,,,,,
,08/13/2025,09:00 AM,133776-CA,"8912 Brunswick Avenue, Riverside CA, 92503","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,
,08/13/2025,09:30 AM,133294-CA,"4049 E Farmington Rd, Stockton CA, 95215","AT THE EAST WEBER AVENUE ENTRANCE STEPS TO THE SAN JOAQUIN COUNTY COURTHOUSE, 180 EAST WEBER AVE., STOCKTON, CA 95202",,,,,,,,
,08/12/2025,12:00 PM,133514-CA,"3436 Camanche Pkwy N, Ione CA, 95640","AT THE MAIN ENTRANCE TO THE AMADOR COUNTY SUPERIOR COURT, 500 ARGONAUT LN., JACKSON, CA 95642",,,,,,,,
,08/13/2025,01:30 PM,123944-CA,"93 Mackie Dr, Martinez CA, 94553","At the north side of the Pittsburg Civic Center near the grass located at 65 Civic Avenue, Pittsburg, CA 94565",,,,,,,,
